（西皮原板）, 有 奴 家 在 青楼 多 烈性   每 日 里 送 旧 并 迎新   虽然 是 缠头 真似 锦   守身如玉 不 能 许人
（西皮摇板）, 英雄 落魄 遭 危困   且 作 巡更 守夜人
（西皮摇板）, 命中 今日 照 红鸾
（西皮摇板）, 千 里 姻缘 一 线 牵
（西皮摇板）, 萍水 相逢 成姻眷
（西皮摇板）, 只 羡 鸳鸯 不 羡 仙
（西皮导板）, 离 长安 上 坐骑 暗暗 思想
（西皮慢板）, 叹 不 尽 功名 事 古今 贤良   奉 王命镇 西 凉 统领 兵将   要 催 那 众 蛮 王俱归 汉 邦   玉门关 虽然 是 黄沙 鼓浪   却 也 有 渔樵 人 放牛 牧羊   看 将来 西番 地 终 非 草莽   但愿 得 顺 说 那 鄯善 归降
（二黄慢板）, 听 树梢 风 悠悠 人烟 肃静   对此 景 不由人 诸事 在心   受 皇恩 出 玉门 离乡 别 井   只 见 那 天 边 月 三星 照临   汉 高 皇 坐 江山 全 凭 韩信   吕 太后 掌 朝纲 害 却 功臣   听 谗言 使 奸计 忠良 丧命   只有 那张 子房 告职 归林   数百 年 害 平 帝王 莽乱 政   天不绝 汉 江山 光武 重兴   云 台 观剐 王莽 奸人 丧命   俺 班超 必须 要 报效 朝廷
（内西皮导板）,
（西皮导板）, 父王 国母 俱 丧命
（西皮摇板）, 人生 在 尘世 间 富贵 穷通   论 公商贺 生计 大不 相同   带领 了 许多 民 成本 为重   我 不免 到 大街 细看 分明
（西皮摇板）, 叫 丫鬟 带路 把 楼上   上 得 楼 来 观 其 详   大街 之上 人 来往   买卖 人儿 好 风光   初 言 我 把 丫鬟 叫   再 叫 丫鬟 细 听 我 详
（西皮慢板）, 周兰英 在 绣楼 自 思自想   思想 起 奴 的 夫好 不 久长   他 去到 广东 城 前去 讨账   家中 事 托 靠 奴 一 人 承当   想 官人 想 得 我 懒 把 花 戴   想 官人 想 得 我 懒 上 牙床   在 绣楼 把 官人 用 目来望   不 知 他 何日 里 转回 家乡
（西皮原板）, 走过 了 许多 的 大街小巷   观 见 了 许多 的 买卖 客商   行 一 步 我 在 那 十字街 旁   见 一 位 美 娘子 盖世 无双
（西皮原板）, 楼下 边站 定了 青春 少年   不 放心 再 把 他 仔细 观看   好像 我 大官 人 一样 一般   我 若 与 他 一 处 成就 婚配   我 二 人 做 一 对 到 老 姻缘   丫鬟 带路 急忙 把 绣楼 来 下   但愿 得 奴 丈夫 早早 回迁
（西皮原板）, 一 见 娘 行 回房 去   倒 叫 小生 好 心急
（西皮摇板）, 妈妈 转上儿 拜见   如同 亲生 一样 般
（西皮慢板）, 闲 无事 我 在 这 家 中 闷坐   陈 相公 他 叫我 与 他 说合   此 一 去 到 她家 巧言 变化   这 一 对 管 叫 她 两 家 共和
（西皮慢板）, 叹 春光 都 付与 多愁多病   奈何 天 辜负 了 美景 良辰   可怜 奴 无家雁 霜天 只 影   好比 那萍 和 梗一样 飘零   花 如 烟柳 如 雾落红 成 阵   这 焦桐 却 为何 弹 不 成 声
（西皮摇板）, 行 一 步 来到 了 她 家 门首   我 见 了 王 三 巧 细说 根由
（西皮原板）, 奴 的 夫去 讨账 无 有 音信   每 日 里思 官人 好不 伤情
（西皮原板）, 往日 里 饮酒酒 不 醉
（西皮原板）, 心中 有 事 酒醉人
（西皮摇板）, 有 日 你 丈夫 回家 转   管 叫 你 对 他 无话言
（西皮摇板）, 薛妈妈 做 此 事 太 得 无礼   你 苦苦 要害 我 所 为何 情
（西皮摇板）, 适才 家 院讲 一 遍   我 母 得 病倒 床 前   有 日 官人 回家 转   问 珍珠衫 无话言
（西皮摇板）, 我 今奉 了 父王 命   郊外 采猎 走 一程
（西皮摇板）, 远望 长安 身 拜定   拜谢 我 主 爵禄恩   恕臣 不 能 把 兵 请
（西皮摇板）, 不如 一 死命 归 阴
（西皮导板）, 耳旁 听 得 有 人 声
（西皮摇板）, 只 见 贤侄 面前 存
（西皮导板）, 太保 传令 把 队收
（西皮慢板）, 叙 一 叙 当年 旧 根由   忆昔 那 年 五 凤 楼   文武 百官 庆贺 千秋   恼恨 国舅 段文楚   他 笑 孤 王 坐席 不正
（西皮慢板）, 自从 千岁 离 朝后   学生 终日 泪如流   为 千 岁 懒 把 乌纱扣   为 千 岁 懒 穿 紫罗绣   山 遥 路远 少 来 问候   望 千岁恕 学生 礼貌 不周
（西皮摇板）, 叫 太保 推杯
（西皮快板）, 换 大斗
（西皮快板）, 李克用 撩袍 跪 席 头
（西皮快板）, 当初 犯罪 亏 你 救   救 我 全 家 活命 留   天高地厚 恩情 有   这 杯 水酒 饮下喉
（西皮快板）, 用 手儿 接过 梅花斗   再 与 千岁 说 从头   甲子 开科 王选秀   山东 来 了 一 儒 流   三 篇 文章 口 锦绣   试官点 他 独 鳌头   三 日 跨马 游街 走   宫娥 彩女 笑 不休   我 主见 他 容貌 丑   摘去 状元 免 鳌头   摘去 状元 尤自可   午门 外 却 把 反 诗 留   祥梅寺
（西皮快板）, 听说 黄巢造 了 反   不由 克 用 喜 心间   贤弟 饮宴 且 饮宴   提起 唐王 孤 不耐烦
（西皮快板）, 我 这里 提起 了 唐 天子   老儿 一旁 不 耐烦   是 是 是
（西皮快板）, 特请 千岁 把 宝观
（西皮快板）, 一 见 珠宝 帐中摆   克 用心 中 解 不 开   贤弟 清官 有数 载   此 宝 打从 何处来
（西皮快板）, 此 宝 出在山 海外   三 年 五 载 进贡 来   唐 王爷 爱将 恩如海   特命 学生 进宝来
（西皮快板）, 贤弟 解宝 因 何故
（西皮快板）, 特请 千岁 把 兵排
（西皮快板）, 孤 的 年纪 迈
（西皮快板）, 千岁爷 虎 老 雄心 在   黄巢 闻名 他 就 不 敢 来
（西皮快板）, 贤弟 莫 要 把 孤抬   有 辈 古人 讲 上来   昔日 有 个 姜 元帅   稳 坐 鱼台 不 下来
（西皮快板）, 钓鱼台 来 鱼 钓 台   他 保 周朝 八百 载   千岁 不 发 人和 马   黄巢 笑 你 老无才
（西皮快板）, 笑 只 笑 他 唐 天子   他 笑 孤 家 为何 来   中 军帐
（西皮快板）, 说 此话 就 该 发 人马
（西皮快板）, 唐王 晏驾 你 再来
（西皮快板）, 问 千岁 此 宝 爱 不爱
（西皮快板）, 受之有愧
（西皮快板）, 这 老儿 做事 不 公平   收 了 珠宝 不 发兵   用手 取出 皇 圣旨   我 奉 圣命来 调兵
（西皮快板）, 用手 接过 皇圣命   右手 压住 帝皇 文   哪 家 若 提 搬兵 事   定 斩首 级 不 容情
（西皮快板）, 一 见 千 岁 变 了 脸   回头 埋怨 李嗣源   我 在 松林 行 短见   不该 救 我 活命 还   千岁 不 发 人和 马   有 何 面目 回 长安
（西皮流水板）, 叔父 不 必 泪 双流   侄儿 进帐 把 兵求
（西皮流水板）, 进 得 帐 来 忙 叩首   尊 声 父王 听 从头   当初 犯罪 亏 他 救   救 我 全 家 活命 留   把 唐王 天子 丢开 手   看在 恩公 救 当初
（西皮快板）, 奴才 做事 真 胆大   敢 在 一旁 把 话 答   吩咐 两 旁 刀斧手   推出 辕门 把 头 杀
（西皮快板）, 一 见 太保 问 了 斩   吓坏 唐朝 一 品 官   千岁 要 斩 将 学生 斩   快快 救回 太保还
（西皮快板）, 我 与 恩官 来 讲话   奴才 一旁 把 话 答   贤弟 回转 长安 去   你 道 老夫 少 家法
（西皮快板）, 有 家法 来 无 家法   看 你 的 脸面 饶恕 他
（西皮摇板）, 将 身跪 在 宝 帐口   谢 父王 不 杀 将 儿留
（西皮摇板）, 恨不得一 足 将 你 踏
（西皮摇板）, 你 叔父 讲情 你 要 谢谢 他
（西皮摇板）, 一旁 谢过 父王 驾   回头 再 谢 叔父 情
（西皮摇板）, 叔父 请 把 心 放定   爹爹 怕 的 二 娘亲   儿到 后帐 把 她 请   哪怕 父王 不 发兵
（西皮导板）, 昔日 有 个 三 大 贤
（西皮原板）, 刘
（西皮快板）, 人马 喊   老 蔡 阳 的 人马 来 在 古城 边   城楼 助 你 三通 鼓   斩 了 蔡阳 方可 进关   哗喇喇 打 罢了 头 通 鼓   二爷 提刀 跨雕鞍   哗喇喇 打 罢了 二 通 鼓   人抖 精神 马 撒欢   哗喇喇 打 罢了 三通 鼓   蔡阳 首级 落马前   一 来 老儿 命该丧   二 来 是 弟兄 得 团圆   劝 贤弟 休 把 长安 转   就 在 沙陀 住 几 年
（西皮摇板）, 昨晚 一 梦 在 长安
（西皮摇板）, 醒来 不觉 在 北番
（西皮摇板）, 离了 前堂 到 后帐
（西皮摇板）, 见 了 母后 说 端详
（西皮摇板）, 太保 带路 往前 进
（西皮摇板）, 见 了 恩官 问 安宁
（西皮快板）, 过 了 一 天 又 一 天   心中 好似 滚 油煎   远望 长安 难得 见   不 知 我 主驾 可 安
（西皮快板）, 恩官 举目 仔细 瞧   众 儿郎 一 个个 杀气 高   大 太保 亚赛 温侯道   二 太 保 生来 韬略 高   三 太 保 上山 擒虎豹   四 太 保 下海 斩 过蛟   五 太 保 双 枪 耍 得好   六 太 保 手使丈 八 矛   七 太 保 手使 枣阳槊   八 太 保鞭 插在 马鞍桥   九 太 保 双锏耍 得好
（西皮摇板）, 你 有 乌纱 我 不 戴   你 有 蟒袍 我 不 穿
（西皮摇板）, 劝 贤弟 宽 饮宴
（西皮摇板）, 程敬 思 闷 坐 酒席 前
（西皮摇板）, 头上 青丝 打成 鬓
（西皮摇板）, 八宝 金环坠 耳根
（西皮摇板）, 老大王 传令 不 用 见
（西皮摇板）, 看看 当朝 一品 官
（西皮摇板）, 这 老儿 不 发 人和 马   丢丑 就 在 这 眼前
（西皮摇板）, 怀抱 令旗 和 令箭
（西皮摇板）, 叫声 太保 听娘言
（西皮摇板）, 姊妹 双双 宝 帐进
（西皮摇板）, 见 了 恩公 问 安宁
（西皮摇板）, 程敬 思撩 袍 跪 席 前   尊 声 皇娘 听 我 言   千 岁 不 发 人和 马   有 何 脸面 回 长安
（西皮摇板）, 尊声 恩公 且 请 起
（西皮摇板）, 他 不 发兵 我 发兵
（西皮摇板）, 一 支 将令 往下 传   他 不 发兵 我 发兵
（西皮摇板）, 太保 生来 一 坏种   在 后帐 搬来 一窝蜂   顺水 推舟 我 把 人情 送   我 为你 发动 了帐 下 兵 雄
（西皮摇板）, 千 岁 不 必 表 人情   学生 心中 明 如 灯   二 位 皇娘 发 人马   程敬 思 不 领 这 空头 情
（西皮摇板）, 贤弟 不必 笑 呵呵   休笑 愚兄 我 怕
（西皮摇板）, 我 怕 老婆   沙陀 国内 访 一 访
（西皮摇板）, 怕 老婆 的 人儿 有 酒 喝
（西皮快板）, 忽听 军中 放 号炮   个个 儿郎 杀气 高   来 在 营 门下 班 豹
（西皮快板）, 误 卯牌 高挂 要 糟糕
（西皮摇板）, 如今 事儿 大 改变   说 什么 男女 要 平行   皇娘 挂 了 元 帅印
（西皮摇板）, 孤王倒做 马前 先行   我 若 不 遵 她 的 令   到 夜晚
（西皮摇板）, 不许 我 进 他 的 卧室 门
（西皮摇板）, 东宫 不要 我 把 西宫 奔
（西皮摇板）, 西宫 照样 关门 睡觉 吹 了 灯
（西皮摇板）, 倒 叫 孤王无处 困
（西皮摇板）, 孤 坐在 银安殿 把 闷气 生   沙陀 国 里 访 一 访
（西皮摇板）, 家家 有 一 本 难 念经   老军 与 我 报门进
（西皮摇板）, 上面 坐定 两 个 夜叉 精   她 二 人 狼狈为奸 坐得 稳   她 也 不 言 我 也 不 做声
（西皮摇板）, 将 身且 坐宝 帐上
（西皮摇板）, 来 在 辕门 下 走 战
（西皮摇板）, 令箭 调 我 为 哪般
（西皮二六板）, 老 虽 老
（西皮二六板）, 会会 德威 小儿曹
（西皮导板）, 三军 与爷 战鼓 打
（西皮摇板）, 阵前 遇见 年幼娃   尔的 本领 有 多 大   敢 与 老夫 动杀法
（西皮摇板）, 两 下 不和动 刀兵   一来一往 起 战争   将 身且 把 山岗 进   看 是 谁 胜 哪 家 赢
（西皮摇板）, 老儿 武艺 果然 好   他 的 韬略 比 某 高   开弓 就 把 箭 放了
（西皮摇板）, 接过 雕翎 箭 一 条   欺负 老夫 年纪 迈   放箭 哪 有 接箭高
（西皮摇板）, 老儿 武艺 果然 精   接过 某 家 箭 一 根   二 次 雕翎 来 放定
（西皮摇板）, 接过 雕翎 箭 二 根   儿说儿 的 箭法 准   夫子 门前 卖得 什么 文
（西皮摇板）, 来 在 疆场 忙 站定
（西皮摇板）, 败将 想 处尔 不 算 能
（西皮摇板）, 满满 搭上 珠 红 扣
（西皮摇板）, 再 与 老儿 说 从头
（西皮摇板）, 谅尔 不 是 汉 李广   养 由 基 比 箭 又 何妨   忙忙 搭上 珠 红 扣
（西皮摇板）, 看 不 到 金钱 在 何方   日落 西山 无 光亮   老眼 昏花 为 哪 桩   低 下头 来 暗 思想
（西皮摇板）, 猛然 一 计在 胸膛
（西皮散板）, 克用 对 天祝 上苍   过往 神灵 听 端详   今日 收下 此 员将   箭 射 双 鸟 落 平阳
（西皮摇板）, 走上 前来 忙 跪 定   含羞 带愧 降 他人
（二黄原板）, 天上 星斗 朗朗稀   休 笑 贫人 穿 破衣   山中 树木 有 长短   河内 荷花 有 高低
（二黄摇板）, 山前 山后 俱 找到   不见 妻儿 为 哪 条
（二黄摇板）, 嗳嗳 我 的 妻儿 呀
（二黄摇板）, 可恨 奸贼 礼 不端   霸占 民妻 为 哪般   分开 大步 往前 闯   不觉 来到 贼 的 府 门前
（二黄原板）, 太师府 摆 酒宴 开怀 畅饮   尊 一 声 范 相公 细 听 分明   明日 里 差人 去 打听   管 叫 你 妻子 到 来临
（二黄原板）, 我 本 是 一 穷 儒 太 烈性   打上 了 太师府 门庭
（二黄原板）, 念卑 人 结发 糟糠 无 有 踪影   棒打 鸳鸯 两 离 分
（二黄原板）, 往日 里 饮酒酒 不 醉
（二黄原板）, 心中 有 事 酒醉人
（二黄平板）, 听樵楼 打 罢了 初 更 时分   猛然 想起 小 娇 生   我 叫 一 声 娇儿 你 来 了吧
（二黄平板）, 樵 楼上 打 罢了 二 更 尽   猛然 想起 结 发情   我 叫 一 声 白 氏 妻 来 了吧
（二黄平板）, 三 更 三点 白露 忙   怎 不 叫人 泪 两 傍   似 风筝 断去 了 无影 的 线
（二黄平板）, 在 城隍庙 内 挂 了 号
（二黄平板）, 土地 祠内 领 过 了 回文
（二黄平板）, 你 骂我 是 一 个 狂 书生   平白 骂 我 所 为何 情
（二黄平板）, 我 和 你 一 无 冤来
（二黄平板）, 是 何人 将 你 的 头 打破
（二黄平板）, 你 去 寻找 对 头人
（二黄平板）, 我 叫 一 声 范金 儿 来 了 罢
（二黄平板）, 叫 一 声 白 氏 妻 你 来 了吧
（二黄平板）, 哪 一 个 是 你 的 亲 生子
（二黄平板）, 哪 一 个 是 你 的 结发 的 人
（二黄平板）, 这 才 是 清平 世界
（西皮原板）, 西王母 高坐 在 瑶台 之上   有 仙童 和 玉女 站立 两厢   我 本 是 修炼 在 昆仑山 上   也 不 知 经过 了 多少 沧桑   到 如今 蟠桃 熟 正 堪 供养   众 仙到 开 盛会 共饮 琼浆
（西皮原板）, 东方朔 可 算得 盖世 英奇   怎奈 我 在 汉朝 运 不 遇 时   虽 为官 只 有 那 一 袋 俸米   只 落得 对 苍天 终日 叹息
（西皮原板）, 可叹 我 东方朔 身长 九 尺   虽 为 官倒 落得 无食无衣   似 这 等 苦 光阴 束手待毙   好 叫我 终日 里 甚 是 惨凄
（西皮摇板）, 说 什么 与 神仙 结为 伉俪   终日 里 无 柴米 好 不 惨凄   将 身儿 来 至 在 这 书房 里   我 定要 与 夫君 辨别 是非
（西皮摇板）, 人生 最 苦 是 啼饥   只得 嫁 鸡 便 随 鸡   无奈何 出门 借 柴米   这 夫妻 还是 好 夫妻
（西皮原板）, 每 日 里 在 昆仑 保 和 养性   与 天公 同 尊贵 圣号 九 灵   瑶池 上 五 彩云 片片 遮定   玄圃 中 蟠桃 熟 便 是 良辰   侍从们 摆 圣驾瑶 台 来 进
（西皮摇板）, 等候 了 众 仙子 共 乐 长春
（西皮二六板）, 瑶池 上 我 且 把 话 来 论   叫 一 声 东方 朔细 听 分明   这 蟠桃 三千年 花开 似锦   三千年 花儿 落叶 子 才 青   到 万年 这 果儿 才 能 结稳   那 一 个 定 能够 不老 长生   这 蟠桃 本 是 我 仙家 珍品   岂 容 你 来 偷盗 任意 胡行
（西皮摇板）, 手挽手儿 把 话 论   愚兄 言 来 听 分明   今日 开 怀来 畅饮   戒酒 之 事 要 谨记 在心
（西皮摇板）, 接过 兄长 酒一樽   戒酒 之 事 记在 心   回头 再 对 大哥 论   夺取 瓦口 定 把 功成
（西皮摇板）, 钢鞭蛇矛 威名显   三军 在后 己 在先   鼓 打 三通 催 前站
（西皮摇板）, 此番 定取 瓦口 关
（西皮快板）, 勒住 丝缰 把 话 讲   张郃小儿 听 端详   鞭打 督邮惊 奸党   虎牢关 前 把 名扬   长坂坡 独 把 曹贼挡   大 吼 一 声 断 桥梁   劝 你 早 把 瓦口 让   稍若 迟延 枪 下 亡
（西皮摇板）, 老爷 河北 称 名将   东 战 西杀扶 魏王   今日 相逢 战场 上   快快 下马 来 投降
（西皮摇板）, 胜败 不 知 胡乱 讲   会战 三 合 看 谁 强
（西皮散板）, 只 说 张飞性 卤莽   谁 知 英勇 非 寻常
（西皮散板）, 停兵 不 战 高 山上   多加小心 只 谨防   吹打 饮酒且 欢畅   候他 退兵 自 有 主张
（西皮散板）, 适才 一 战 贼 丧胆   勇 比 军中 楚霸王   歇息 再 把 山头 抢
（西皮散板）, 又 见 张郃饮 猖狂
（西皮摇板）, 曹操 奸雄 枉用 将   这 装聋作哑 酒 饭囊   张爷 说来 儿 细想   那 缩头 的 龟儿 比 你 强
（西皮散板）, 张郃无能 空 狂妄   缩头 不 出气 老张   眉头 一 皱 心 暗想
